key	date	value
Belize, British Honduras	1921	125
Belize, British Honduras	1922	27
Belize, British Honduras	1923	50
Belize, British Honduras	1924	151
Bergen	1892	0
Bergen	1893	0
Bergen	1894	38
Bergen	1895	0
Bergen	1896	0
Bergen	1897	4
Bergen	1898	0
Bergen	1899	0
Bergen	1900	0
Bergen	1901	0
Bergen	1902	0
Bergen	1903	0
Bergen	1904	0
Bergen	1905	0
Bergen	1906	0
Bergen	1907	0
Bergen	1908	0
Bergen	1909	0
Bergen	1910	0
Bergen	1911	1
Bergen	1912	8
Bergen	1913	1583
Bergen	1914	8915
Bergen	1915	6035
Bergen	1916	6256
Bergen	1917	2078
Bergen	1918	556
Bergen	1919	1263
Bergen	1920	494
Bergen	1921	1704
Bergen	1922	1461
Bergen	1923	3008
Bergen	1924	1261
Bermuda	1892	1082
Bermuda	1893	1801
Bermuda	1894	393
Bermuda	1895	826
Bermuda	1896	188
Bermuda	1897	634
Bermuda	1898	0
Bermuda	1899	0
Bermuda	1900	0
Bermuda	1901	0
Bermuda	1902	0
Bermuda	1903	640
Bermuda	1904	912
Bermuda	1905	461
Bermuda	1906	1509
Bermuda	1907	3639
Bermuda	1908	1602
Bermuda	1909	4769
Bermuda	1910	5322
Bermuda	1911	14855
Bermuda	1912	17612
Bermuda	1913	11604
Bermuda	1914	8926
Bermuda	1915	2878
Bermuda	1916	827
Bermuda	1917	153
Bermuda	1918	163
Bermuda	1919	472
Bermuda	1920	555
Bermuda	1921	1087
Bermuda	1922	8885
Bermuda	1923	11796
Bermuda	1924	13925
Bocas del Toro	1892	0
Bocas del Toro	1893	16
Bocas del Toro	1894	12
Bocas del Toro	1895	4
Bocas del Toro	1896	10
Bocas del Toro	1897	0
Bocas del Toro	1898	0
Bocas del Toro	1899	0
Bocas del Toro	1900	0
Bocas del Toro	1901	0
Bocas del Toro	1902	0
Bocas del Toro	1903	0
Bocas del Toro	1904	0
Bocas del Toro	1905	0
Bocas del Toro	1906	0
Bocas del Toro	1907	61
Bocas del Toro	1908	7
Bocas del Toro	1909	12
Bocas del Toro	1910	4
Bocas del Toro	1911	77
Bocas del Toro	1912	5
Bocas del Toro	1913	11
Bocas del Toro	1914	10
Bocas del Toro	1915	2
Bocas del Toro	1916	99
Bocas del Toro	1917	0
Bocas del Toro	1918	90
Bocas del Toro	1919	80
Bocas del Toro	1920	32
Bocas del Toro	1921	2
Bocas del Toro	1922	255
Bocas del Toro	1923	466
Bocas del Toro	1924	0
Bordeaux	1892	367
Bordeaux	1893	449
Bordeaux	1894	225
Bordeaux	1895	357
Bordeaux	1896	324
Bordeaux	1897	124
Bordeaux	1898	44
Bordeaux	1899	134
Bordeaux	1900	0
Bordeaux	1901	0
Bordeaux	1902	0
Bordeaux	1903	1
Bordeaux	1904	1
Bordeaux	1905	0
Bordeaux	1906	3
Bordeaux	1907	4
Bordeaux	1908	131
Bordeaux	1909	760
Bordeaux	1910	135
Bordeaux	1911	226
Bordeaux	1912	99
Bordeaux	1913	62
Bordeaux	1914	74
Bordeaux	1915	6905
Bordeaux	1916	10471
Bordeaux	1917	18633
Bordeaux	1918	23837
Bordeaux	1919	14650
Bordeaux	1920	8944
Bordeaux	1921	1149
Bordeaux	1922	1822
Bordeaux	1923	2694
Bordeaux	1924	4007
Boston	1892	0
Boston	1893	0
Boston	1894	1
Boston	1895	0
Boston	1896	0
Boston	1897	0
Boston	1898	0
Boston	1899	0
Boston	1900	0
Boston	1901	0
Boston	1902	0
Boston	1903	0
Boston	1904	5
Boston	1905	0
Boston	1906	0
Boston	1907	0
Boston	1908	0
Boston	1909	0
Boston	1910	0
Boston	1911	0
Boston	1912	1
Boston	1913	0
Boston	1914	0
Boston	1915	0
Boston	1916	0
Boston	1917	357
Boston	1918	76
Boston	1919	98
Boston	1920	81
Boston	1921	258
Boston	1922	68
Boston	1923	52
Boston	1924	31
Boulogne	1892	2369
Boulogne	1893	1132
Boulogne	1894	726
Boulogne	1895	1782
Boulogne	1896	1868
Boulogne	1897	2168
Boulogne	1898	2771
Boulogne	1899	6067
Boulogne	1900	6852
Boulogne	1901	6693
Boulogne	1902	9434
Boulogne	1903	11117
Boulogne	1904	6544
Boulogne	1905	6340
Boulogne	1906	5309
Boulogne	1907	7922
Boulogne	1908	4214
Boulogne	1909	4702
Boulogne	1910	5092
Boulogne	1911	5649
Boulogne	1912	5919
Boulogne	1913	6213
Boulogne	1914	2079
Boulogne	1915	0
Boulogne	1916	2
Boulogne	1917	331
Boulogne	1918	95
Boulogne	1919	4156
Boulogne	1920	13759
Boulogne	1921	7411
Boulogne	1922	4250
Boulogne	1923	3426
Boulogne	1924	2904
Bremen	1892	79309
Bremen	1893	93399
Bremen	1894	34743
Bremen	1895	54345
Bremen	1896	45124
Bremen	1897	26623
Bremen	1898	34079
Bremen	1899	56246
Bremen	1900	63972
Bremen	1901	69912
Bremen	1902	78043
Bremen	1903	104376
Bremen	1904	88349
Bremen	1905	113246
Bremen	1906	125086
Bremen	1907	155660
Bremen	1908	61453
Bremen	1909	119952
Bremen	1910	98754
Bremen	1911	85271
Bremen	1912	122053
Bremen	1913	157244
Bremen	1914	59586
Bremen	1915	2
Bremen	1916	0
Bremen	1917	0
Bremen	1918	0
Bremen	1919	47
Bremen	1920	2692
Bremen	1921	17939
Bremen	1922	52659
Bremen	1923	79739
Bremen	1924	37958
Bremerhaven	1892	2660
Bremerhaven	1893	2567
Bremerhaven	1894	0
Bremerhaven	1895	0
Bremerhaven	1896	0
Bremerhaven	1897	0
Bremerhaven	1898	0
Bremerhaven	1899	0
Bremerhaven	1900	0
Bremerhaven	1901	0
Bremerhaven	1902	0
Bremerhaven	1903	0
Bremerhaven	1904	26
Bremerhaven	1905	225
Bremerhaven	1906	113
Bremerhaven	1907	6
Bremerhaven	1908	3
Bremerhaven	1909	9
Bremerhaven	1910	19
Bremerhaven	1911	61
Bremerhaven	1912	50
Bremerhaven	1913	36
Bremerhaven	1914	24
Bremerhaven	1915	17
Bremerhaven	1916	0
Bremerhaven	1917	0
Bremerhaven	1918	0
Bremerhaven	1919	116
Bremerhaven	1920	66
Bremerhaven	1921	6037
Bremerhaven	1922	15048
Bremerhaven	1923	25623
Bremerhaven	1924	26220
Brest, France	1892	0
Brest, France	1893	0
Brest, France	1894	0
Brest, France	1895	0
Brest, France	1896	0
Brest, France	1897	0
Brest, France	1898	0
Brest, France	1899	0
Brest, France	1900	0
Brest, France	1901	0
Brest, France	1902	0
Brest, France	1903	0
Brest, France	1904	0
Brest, France	1905	0
Brest, France	1906	0
Brest, France	1907	0
Brest, France	1908	0
Brest, France	1909	0
Brest, France	1910	0
Brest, France	1911	0
Brest, France	1912	0
Brest, France	1913	0
Brest, France	1914	0
Brest, France	1915	28
Brest, France	1916	30
Brest, France	1917	610
Brest, France	1918	4199
